Song,Artist(s),Writer(s),Album(s),Year,Lyrics,Views,Lyrics_word_count,All_word_count,All%,Harry_word_count,Harry%,Liam_word_count,Liam%,Louis_word_count,Louis%,Niall_word_count,Niall%,Zayn_word_count,Zayn%,Most_Common,Harry Styles_W,Zayn Malik_W,Louis Tomlinson_W,Niall Horan_W,Liam Payne_W,Unique_Words,Main_One,Most_Common_Count
18,One Direction,"Ed Sheeran, Oliver Frank",Four,2014,"I got a heart and I got a soul Believe me, I will use them both We made a start, be it a false one, I know Baby, I don't want to feel alone So kiss me where I lay down My hands pressed to your cheeks A long way from the playground I have loved you since we were eighteen Long before we both thought the same thing To be loved and to be in love All I can do is say that these arms were made for holdin' you, oh I wanna love like you made me feel When we were eighteen We took a chance, God knows we've tried Yet all along, I knew we'd be fine So pour me a drink, oh, love And let's split the night wide open And we'll see everything we can Living love in slow motion, motion, motion You might also like So kiss me where I lay down (Ooh-ooh) My hands pressed to your cheeks (Ooh-ooh) A long way from the playground (Ooh-ooh) I have loved you since we were eighteen Long before we both thought the same thing To be loved and to be in love And all I can do is say that these arms were made for holdin' you, oh And I wanna love like you made me feel When we were eighteen When we were eighteen Oh, lord When we were eighteen Kiss me where I lay down My hands pressed to your cheeks A long way from the playground I have loved you since we were eighteen Long before we both thought the same thing To be loved and to be in love And all I can do is say that these arms were made for holdin' you, oh And I wanna love like you made me feel When we were eighteen (Eighteen) I wanna love like you made me feel When we were eighteen (Eighteen, yeah) I wanna love like you made me feel When we were eighteen",70.0,365,155,42.465753424657535,85,23.28767123287671,47,12.876712328767123,0,0.0,57,15.616438356164384,37,10.136986301369864,love,False,False,False,False,False,96,,10
A.M.,One Direction,"Niall Horan, Liam Payne, Harry Styles, Louis Tomlinson, Ed Drewett, John Ryan, Julian Bunetta",Made in the A.M.,2015,"Won't you stay till the A.M.? All my favourite conversations Always made in the A.M Yeah, yeah Feels like this could be forever tonight Break these clocks, forget about time There could be a World War III goin' on outside You and me were raised in the same part of town Got these scars on the same ground Remember how we used to kick around just wastin' time? Won't you stay till the A.M.? All my favourite conversations Always made in the A.M 'Cause we don't know what we're sayin' We're just swimmin' 'round in our glasses And talkin' out of our asses Like we're all gonna make it, yeah, yeah Feels like this could be forever right now Don't wanna sleep 'cause we're dreamin' out loud Trying to behave, but you know that we never learnt how You and me were raised in the same part of town Got these scars on the same ground Remember how we used to kick around just wasting time? You might also like Won't you stay till the A.M.? All my favourite conversations Always made in the A.M 'Cause we don't know what we're sayin' We're just swimming 'round in our glasses And talkin' out of our asses Like we're all gonna make it, yeah, yeah Ooh You know I'm always coming back to this place Ooh You know and I say Ooh You know I'm always gonna look for your face Ooh You know Won't you stay till the A.M.? All my favourite conversations Always made in the A.M 'Cause we don't know what we're sayin' We're just swimmin' 'round in our glasses And talkin' out of our asses Like we're all gonna make it, yeah, yeah Won't you stay till the A.M.? (Ooh) You know I'm always coming back to this place Won't you stay till the A.M.? Yeah, yeah (Ooh) You know and I say Won't you stay till the A.M.? (Ooh) You know I'm always gonna look for your face Won't you stay 'til the A.M.? Yeah, yeah (Ooh)",4.4,365,129,35.342465753424655,130,35.61643835616438,88,24.10958904109589,55,15.068493150684931,51,13.972602739726028,0,0.0,stay,True,False,True,True,True,98,,8
Act My Age,One Direction,"John Ryan, Julian Bunetta, Ed Drewett",Four,2014,"One, two, three, four When I'm fat and old and my kids think I'm a joke 'Cause I move a little slow when I dance I can count on you after all that we've been through 'Cause I know that you'll always understand I won't act my age, no, I won't act my age No, I'll still feel the same around you Hey! When I'm fat and old and my kids think I'm a joke 'Cause the stories that I told, I tell again and again I can count on you after all we got up to 'Cause I know that you truly understand I won't act my age, no, I won't act my age No, I'll still feel the same around you I won't act my age, no, I won't act my age (Act my age, no, I'll—) No, I'll still feel the same, you will, too Hey! You might also like When I can hardly walk and my hair is fallin' out We'll still stay up till mornin', we'll throw the after-party Oh, yeah, oh, yeah I won't act my age, no, I won't act my age (Act my age, no, I'll—) No, I'll still feel the same around you I won't act my age, no, I won't act my age (Act my age, no, I'll—) No, I'll still feel the same, you will, too Hey!",20.0,246,119,48.3739837398374,25,10.16260162601626,39,15.853658536585366,41,16.666666666666664,39,15.853658536585366,41,16.666666666666664,act,False,False,False,False,False,74,,13
Alive,One Direction,"Julian Bunetta, John Ryan, Jamie Scott, Louis Tomlinson",Midnight Memories,2013,"My mother told me I should go and get some therapy I asked the doctor, ""Can you find out what is wrong with me?"" I don't know why I wanna be with every girl I meet I can't control it, yeah, I know it's takin' over me I'm going crazy, can't contain it So tell me just what I should do She said, ""Hey, it's alright, does it make you feel alive? Don't look back, live your life, even if it's only for tonight"" She said, ""Hey, it's alright if it makes you feel alive"" Went to a party just after the doctor talked to me I met a girl, I took her hand up to the balcony I whispered somethin' in her ear that I just can't repeat She said, ""Okay,"" but she was worried what her friends would think She's going crazy, can't contain it She asked me, ""What should I do?"" Oh I said, ""Hey, it's alright, does it make you feel alive? Don't look back, live your life, even if it's only for tonight"" I said, ""Hey, it's alright if it makes you feel alive"" You might also like We gotta live before we get older Do what we like, we got nothing to lose Shake off the weight of the world from your shoulders Woah, we've got nothing to prove I said, ""Hey, it's alright, does it make you feel alive? Don't look back, live your life, even if it's only for tonight"" I said, ""Hey (Hey!), it's alright, does it make you feel alive? Don't look back (Hey!), live your life, even if it's only for tonight"" I said, ""Hey (Hey!), it's alright if it makes you feel alive""",1.3,306,109,35.62091503267974,0,0.0,98,32.02614379084967,32,10.45751633986928,46,15.032679738562091,28,9.15032679738562,said,False,False,True,False,False,111,Louis Tomlinson,8
Another World,One Direction,"Achraf Jannusi, Bilal Hajji, Eric Sanicola, Geo Slam, RedOne Teddy, Sky",Up All Night,2011,"It's not me, it's not you, there's a reason I'm just tryna read the signals I'm receivin' Just like a stone on fire, can you feel it? I don't know about you, girl, but I believe it Words will be just words Till you bring them to life I'll lift you up, I'll never stop You know I'll take you to another world I'll build you up, I'll never stop You know I'll take you to another world Everyday, in every way, oh-oh-oh I'll lift you up, I'll never stop You know I'll take you to another world One for me, one for you, whatcha doin'? Girl, the music sounds so good when you're movin' Let me take you higher, let me prove it 'Cause, hey, hey, pretty girl, I believe it Words will be just words Till you bring them to life You might also like I'll lift you up, I'll never stop You know I'll take you to another world I'll build you up, I'll never stop You know I'll take you to another world Everyday, in every way (In every way, yeah, yeah), oh-oh-oh I'll lift you up, I'll never stop You know I'll take you to another world Take you to another world You know I'll take you to another world Baby, let me find out your secret Just let me in and let me show you that I keep it Close to my heart, jump in the deep end Just let me in and let me show you what I'm meanin' I'll lift you up, I'll never stop You know I'll take you to another world I'll build you up, I'll never stop You know I'll take you to another world Everyday (Everyday), in every way (In every way, yeah, yeah), oh-oh-oh I'll lift you up, I'll never stop You know I'll take you to another world (Take you to another world) Take you to another world (Oh yeah) You know I'll take you to another world I'll build you up, I'll never stop You know I'll take you to another world Yeah, yeah Take you to another world (Woah, oh) I'll lift you up, I'll never stop",1.2,390,195,50.0,30,7.6923076923076925,37,9.487179487179487,41,10.512820512820513,26,6.666666666666667,34,8.717948717948717,take,False,False,False,False,False,89,,17
Back for You,One Direction,"Kristoffer Fogelmark, Savan Kotecha, Albin Nedler, Rami Yacoub, Liam Payne, Harry Styles, Louis Tomlinson, Niall Horan",Take Me Home,2012,"Whenever I close my eyes, I picture you there I'm lookin' out at the crowd, you're everywhere I'm watching you from the stage, yeah Your smile is on every face now But every time you wake up, you're hearing me say goodbye Baby, you don't have to worry I'll be coming back for you Back for you, back for you, you Lately, I've been going crazy So I'm coming back for you Back for you, back for you, you I've never been so into somebody before And every time we both touch, I only want more So tell me nothing's gonna change, yeah And you won't ever walk away, yeah 'Cause even though every night you'll know what I'll say, goodbye Baby, you don't have to worry I'll be coming back for you Back for you, back for you, you Lately, I've been going crazy So I'm coming back for you Back for you, back for you, you You might also like Right back for you, oh-woah Right back for you, right back for you Lately, I've been going crazy So I'm coming back Yeah, I am coming back for you Baby, you don't have to worry I'll be coming back for you Back for you, back for you, for you (For you, woah) Lately, I've been going crazy (Crazy, yeah) So I'm coming back for you Back for you, back for you, you (Yeah) Right back for you, right back Right back for you, right back Right back for you, right back Right back for you (C'mon) Lately, I've been going crazy So I'm coming back for you Back for you, back for you, you",1.8,299,163,54.51505016722408,84,28.093645484949832,58,19.39799331103679,55,18.39464882943144,0,0.0,16,5.351170568561873,coming,True,False,True,True,True,85,,9
Best Song Ever,One Direction,"Wayne Hector, John Ryan, Ed Drewett, Julian Bunetta",Midnight Memories,2013,"Maybe it's the way she walked (Ow!) Straight into my heart and stole it Through the doors and past the guards (Ow!) Just like she already owned it I said, ""Can you give it back to me?"" She said, ""Never in your wildest dreams"" And we danced all night to the best song ever We knew every line, now I can't remember How it goes, but I know that I won't forget her 'Cause we danced all night to the best song ever I think it went, ""Oh, oh, oh,"" I think it went, ""Yeah, yeah, yeah"" I think it goes (Woo!) Said her name was Georgia Rose (Ow!) And her daddy was a dentist Said I had a dirty mouth (I got a dirty mouth) But she kissed me like she meant it You might also like I said, ""Can I take you home with me?"" She said, ""Never in your wildest dreams"" And we danced all night to the best song ever We knew every line, now I can't remember (How it goes, but I know) How it goes, but I know that I won't forget her 'Cause we danced all night to the best song ever I think it went, ""Oh, oh, oh,"" I think it went, ""Yeah, yeah, yeah"" I think it goes (Woo!) You know, I know, you know I'll remember you And I know, you know, I know you'll remember me And you know, I know, you know I'll remember you (Oh, oh, oh, yeah, yeah, yeah) And I know, you know, I hope you'll remember how we danced (Oh, oh, oh, yeah, yeah, yeah, oh, oh, oh, yeah, yeah, yeah) How we danced (Oh, oh, oh, one, two, one, two, three, ow!) How we danced all night to the best song ever (How we danced) We knew every line, now I can't remember (We knew every line) How it goes, but I know that I won't forget her 'Cause we danced all night (We danced, we danced) to the best song ever (It goes something like this) And we danced all night to the best song ever (Oh, oh, oh, yeah, yeah, yeah) We knew every line, now I can't remember (Oh, oh, oh, yeah, yeah, yeah) How it goes, but I know that I won't forget her (Oh, oh, oh, yeah, yeah, yeah, I know that I won't forget her) 'Cause we danced all night to the best song ever (Oh, oh, oh, yeah, yeah, yeah, best song ever) I think it went, ""Oh, oh, oh,"" I think it went, ""Yeah, yeah, yeah"" I think it goes (Woo!) Best song ever It was the best song ever It was the best song ever It was the best song ever",796.0,489,340,69.52965235173824,64,13.0879345603272,36,7.361963190184049,0,0.0,16,3.2719836400818,37,7.566462167689162,yeah,False,False,False,False,False,88,,24
Better than Words,One Direction,"Jamie Scott, Julian Bunetta, John Ryan, Liam Payne, Louis Tomlinson",Midnight Memories,2013,"Ooh Better than words More than a feeling (Ow) Crazy in love Dancing on the ceiling (Ha) Every time we touch, I'm all shook up You make me wanna, how deep is your love? God only knows, baby (Ooh) I don't know how else to sum it up 'Cause words ain't good enough (Ooh) There's no way I can explain your love, no (Ah-ooh) I don't know how else to sum it up 'Cause words ain't good enough (Ooh) I can't explain your love, no It's better than words (Oh-oh-oh, oh-oh-oh) Better than words (Oh-oh-oh) You might also like Better than words You drive me crazy Someone like you Always be my baby Best I ever had, hips don't lie (Hey) You make me wanna (Tss) one more night Irreplaceable (Yeah) Crazy, we're crazy (Ah-ooh) I don't know how else to sum it up 'Cause words ain't good enough (Ooh) There's no way I can explain your love, no (There's no way I can explain your love) (Ah-ooh) I don't know how else to sum it up 'Cause words ain't good enough (Ooh) I can't explain your love, no Everyone tries (They try) To see what it feels like (Feels like) But they'll never be right 'Cause it's better, it's better, it's better Ooh, ooh-ooh, ooh-ooh-ooh-ooh-ooh Ooh-ooh, ah-ah One more time Ooh, ooh-ooh, ooh-ooh-ooh-ooh-ooh Better than words, ah-ah Yeah (Ah-ooh) I don't know how else to sum it up (I don't know) 'Cause words ain't good enough (Ooh) There's no way I can explain your love, no (Ah-ooh) I don't know how else to sum it up (To sum it up) 'Cause words ain't good enough (The words ain't good enough) (Ooh) I can't explain your love, no (Explain your love, no) It's better than words (Oh-oh-oh, oh-oh-oh) It's better than words (Oh-oh-oh) It's better than words (Oh-oh-oh, oh-oh-oh) (Oh-oh-oh)",3.7,351,173,49.287749287749286,122,34.75783475783476,113,32.193732193732195,83,23.646723646723647,59,16.80911680911681,14,3.988603988603988,word,False,False,True,False,True,90,,15
"C'mon, C'mon",One Direction,"Jamie Scott, John Ryan, Julian Bunetta",Take Me Home,2012,"C'mon, c'mon (Ooh) The one that I came with She had to go But you look amazing Standing alone So, c'mon, c'mon Move a little closer now C'mon, c'mon Ain't no way you're walking out C'mon, c'mon Show me what you're all about Yeah, I've been watching you all night There's something in your eyes Saying, ""C'mon, c'mon, and dance with me, baby"" Yeah, the music is so loud, I wanna be yours now So c'mon, c'mon, and dance with me, baby The one that I came with Didn't know how to move (Oh-oh-oh-oh) The way that you let your hair down I can tell that you do You might also like So, c'mon, c'mon Move a little closer now C'mon, c'mon Ain't no way you're walking out C'mon, c'mon Show me what you're all about Yeah, I've been watching you all night There's something in your eyes Saying, ""C'mon, c'mon, and dance with me, baby"" Yeah, the music is so loud, I wanna be yours now So c'mon, c'mon, and dance with me, baby And every step I take, I feel it more and more She's calling out, she's a lucky girl My heart is racing, she's turning around I reach for her hand and I say Hey, I've been watching you all night There's something in your eyes Saying, ""C'mon, c'mon, and dance with me, baby"" Yeah, the music is so loud, I wanna be yours now So c'mon, c'mon, and dance with me, baby Yeah, yeah C'mon, c'mon (Ooh) C'mon, c'mon (Ooh) C'mon, c'mon, and dance with me, baby",5.8,294,132,44.89795918367347,84,28.57142857142857,81,27.55102040816326,48,16.3265306122449,30,10.20408163265306,46,15.64625850340136,dance,False,False,False,False,False,89,,7
Change My Mind,One Direction,"Rami Yacoub, Carl Falk, Savan Kotecha",Take Me Home,2012,"The end of the night, we should say goodbye But we carry on while everyone's gone Never felt like this before Are we friends or are we more? As I'm walking towards the door I'm not sure But, baby, if you say you want me to stay, I'll change my mind 'Cause I don't wanna know I'm walkin' away if you'll be mine Won't go, won't go So, baby, if you say you want me to stay, stay for the night I'll change my mind Lean in when you laugh, we take photographs There's no music on, but we dance along Never felt like this before Are we friends or are we more? As I'm walking towards the door I'm not sure You might also like But, baby, if you say you want me to stay, I'll change my mind 'Cause I don't wanna know I'm walkin' away if you'll be mine Won't go, won't go So, baby, if you say you want me to stay, stay for the night I'll change my mind I'll change my mind Baby, if you say you want me to stay, I'll change my mind But, baby, if you say you want me to stay, I'll change my mind 'Cause I don't wanna know I'm walkin' away if you'll be mine Won't go, won't go So, baby, if you say you want me to stay, stay for the night I'll change my mind",2.4,259,0,0.0,73,28.185328185328185,64,24.71042471042471,16,6.177606177606178,13,5.019305019305019,121,46.71814671814672,say,False,False,False,False,False,68,,8
