Name,NumSongs
Ed Sheeran,4
Oliver Frank,1
Niall Horan,17
Liam Payne,31
Harry Styles,21
Louis Tomlinson,34
Ed Drewett,9
John Ryan,33
Julian Bunetta,36
Jamie Scott,24
Achraf Jannusi,2
Bilal Hajji,1
Eric Sanicola,1
Geo Slam,1
RedOne Teddy,1
Sky,1
Kristoffer Fogelmark,3
Savan Kotecha,10
Albin Nedler,2
Rami Yacoub,6
Wayne Hector,10
Carl Falk,6
Zayn Malik,11
Sam Martin,1
Tom Fletcher,4
Danny Jones,3
Dougie Poynter,3
Jacob Kasher,3
"Gamal ""LunchMoney""",1
Lewis John,1
Ryan,1
Steve Robson,6
Nandini Srivastava,1
Maureen McDonald,1
Bernhard Lloyd,1
Marian Gold,1
Frank Mertens,1
S. Pages,1
Mehner,1
Steve Mac,1
August Rigo,1
Lindy Robbins,4
Shellback Kristian,1
Lundin,1
Ina Wroldsen,1
Ammar Malik,1
Ross Golan,1
Johan Carlsson,2
Cagaanan Rami,1
Yacoub Carl,1
Falk Savan,1
Kotecha Shellback,1
Kristian Lundin,1
Abin Nedler,1
Theodore Geiger,2
Fiona Bevan,1
Tebey Ottoh,2
Tommy Lee,2
James,1
Si Hulbert,1
Iain James,1
James Murray,1
Matt Squire,2
Mustapha Omer,1
Ruth-Anne Cunningham,2
Shellback,1
Debbie Harry,1
Nigel Harrison,1
"""John ONeill""",1
Robert Conlon,1
Alexander Gowers,1
Jesse Shatkin,1
Maureen Anne,1
McDonald,1
Ryan Tedder,1
Lukasz Gottwald,1
Henry Walter,1
Peter Svensson,1
Allan Grigg,1
Sam Hollander,1
RedOne BeatGeek,1
Jimmy Joker,1
Teddy Sky,1
Alaina Beaton,1
Jacknife Lee,1
Gary Lightbody,1
Roy Stride,1
Josh Wilkinson,1
Paul Meehan,1
Toby Gad,2
Kelly Clarkson,1
Tom Meredith,1
Shep Solomon,1
TMS,1
James Peter,1
Wallevik Tommy,1
P Gregersen,1
Toby Smith,1
Trevor Dahl,1
Mike Needle,1
Daniel Bryer,1
Ali Tamposi,1
Claude Kelly,1
Will Champlin,1
Andrew Haas,1
Ian Franzino,1
