Song,Artist(s),Writer(s),Album(s),Year
"""18""",One Direction,Ed Sheeran Oliver Frank,Four,2014
"""A.M.""",One Direction,Niall Horan Liam Payne Harry Styles Louis Tomlinson Ed Drewett John Ryan Julian Bunetta,Made in the A.M.,2015
"""Act My Age""",One Direction,John Ryan Julian Bunetta Ed Drewett,Four,2014
"""Alive""",One Direction,Julian Bunetta John Ryan Jamie Scott Louis Tomlinson,Midnight Memories,2013
"""Another World""",One Direction,Achraf Jannusi Bilal Hajji Eric Sanicola Geo Slam RedOne Teddy Sky,Up All Night,2011
"""Back for You""",One Direction,Kristoffer Fogelmark Savan Kotecha Albin Nedler Rami Yacoub Liam Payne Harry Styles Louis Tomlinson Niall Horan,Take Me Home,2012
"""Best Song Ever""",One Direction,Wayne Hector John Ryan Ed Drewett Julian Bunetta,Midnight Memories,2013
"""Better than Words""",One Direction,Jamie Scott Julian Bunetta John Ryan Liam Payne Louis Tomlinson,Midnight Memories,2013
"""C'mon, C'mon""",One Direction,Jamie Scott John Ryan Julian Bunetta,Take Me Home,2012
"""Change My Mind""",One Direction,Rami Yacoub Carl Falk Savan Kotecha,Take Me Home,2012
"""Change Your Ticket""",One Direction,Niall Horan Zayn Malik Liam Payne Harry Styles Louis Tomlinson Sam Martin Julian Bunetta John Ryan,Four,2014
"""Clouds""",One Direction,Zayn Malik Liam Payne Louis Tomlinson Jamie Scott Julian Bunetta John Ryan,Four,2014
"""Diana""",One Direction,Jamie Scott Julian Bunetta John Ryan Liam Payne Louis Tomlinson,Midnight Memories,2013
"""Does He Know?""",One Direction,Jamie Scott Julian Bunetta John Ryan Liam Payne Louis Tomlinson,Midnight Memories,2013
"""Don't Forget Where You Belong""",One Direction,Tom Fletcher Danny Jones Dougie Poynter Niall Horan,Midnight Memories,2013
"""Drag Me Down""",One Direction,Julian Bunetta Jamie Scott John Ryan,Made in the A.M.,2015
"""End of the Day""",One Direction,"Liam Payne Louis Tomlinson Julian Bunetta Ed Drewett Jacob Kasher Wayne Hector Gamal ""LunchMoney"" Lewis John Ryan",Made in the A.M.,2015
"""Everything About You""",One Direction,Steve Robson Wayne Hector Harry Styles Liam Payne Louis Tomlinson Niall Horan Zayn Malik Nandini Srivastava,Up All Night,2011
"""Fireproof""",One Direction,Julian Bunetta Louis Tomlinson Jamie Scott Liam Payne John Ryan,Four,2014
"""Fool's Gold""",One Direction,Jamie Scott Maureen McDonald Niall Horan Zayn Malik Liam Payne Harry Styles Louis Tomlinson,Four,2014
"""Forever Young""",One Direction,Bernhard Lloyd Marian Gold Frank Mertens,â,2010
"""Girl Almighty""",One Direction,Julian Bunetta John Ryan S. Pages Mehner,Four,2014
"""God Only Knows""","Brian Wilson, One Direction, and various artists",BBC Music and Friends,â,2014
"""Gotta Be You""",One Direction,Steve Mac August Rigo,Up All Night,2011
"""Half a Heart""",One Direction,Steve Robson Ed Drewett Lindy Robbins,Midnight Memories,2013
"""Happily""",One Direction,Savan Kotecha Carl Falk Harry Styles,Midnight Memories,2013
"""Heart Attack""",One Direction,Rami Yacoub Carl Falk Savan Kotecha Shellback Kristian Lundin,Take Me Home,2012
"""Heroes""",The X Factor finalists 2010,David Bowie Brian Eno,â,2010
